dim,value,unit
dim-t,4,s
dim-t,3,s
dim-t,2,s
dim-t,1,s
dim-t,0,s
dim-t,-1,s
dim-t,-2,s
dim-t,-3,s
dim-t,-4,s
dim-l,4,m
dim-l,3,m
dim-l,2,m
dim-l,1,m
dim-l,0,m
dim-l,-1,m
dim-l,-2,m
dim-l,-3,m
dim-l,-4,m
dim-m,4,kg
dim-m,3,kg
dim-m,2,kg
dim-m,1,kg
dim-m,0,kg
dim-m,-1,kg
dim-m,-2,kg
dim-m,-3,kg
dim-m,-4,kg
dim-i,4,A
dim-i,3,A
dim-i,2,A
dim-i,1,A
dim-i,0,A
dim-i,-1,A
dim-i,-2,A
dim-i,-3,A
dim-i,-4,A
dim-k,4,k
dim-k,3,k
dim-k,2,k
dim-k,1,k
dim-k,0,k
dim-k,-1,k
dim-k,-2,k
dim-k,-3,k
dim-k,-4,k
dim-n,4,mol
dim-n,3,mol
dim-n,2,mol
dim-n,1,mol
dim-n,0,mol
dim-n,-1,mol
dim-n,-2,mol
dim-n,-3,mol
dim-n,-4,mol
dim-r,0,rad
dim-r,1,rad
dim-c,0,kg/kg
dim-c,1,kg/kg
