dimension_type,dim_t,dim_l,dim_m,dim_i,dim_k,dim_n,dim_j,dim_r
time,1,0,0,0,0,0,0,0
length,0,1,0,0,0,0,0,0
mass,0,0,1,0,0,0,0,0
electric current,0,0,0,1,0,0,0,0
thermodynamic temperature,0,0,0,0,1,0,0,0
amount of substance,0,0,0,0,0,1,0,0
luminous intensity,0,0,0,0,0,0,1,0
plane angle,0,0,0,0,0,0,0,1
mass fraction composition,0,0,0,0,0,0,0,0
volume fraction composition,0,0,0,0,0,0,0,0
area,0,2,0,0,0,0,0,0
volume,0,3,0,0,0,0,0,0
speed,-1,1,0,0,0,0,0,0
acceleration,-2,1,0,0,0,0,0,0
wave number,0,-1,0,0,0,0,0,0
mass density,0,-3,1,0,0,0,0,0
specific volume,0,3,-1,0,0,0,0,0
current density,0,-2,0,1,0,0,0,0
magnetic field strength,0,-1,0,1,0,0,0,0
amount-of-substance concentration,0,-3,0,0,0,1,0,0
luminance,0,-2,0,0,0,0,1,0
frequency,-1,0,0,0,0,0,0,0
force,-2,1,1,0,0,0,0,0
stress,-2,-1,1,0,0,0,0,0
pressure,-2,-1,1,0,0,0,0,0
energy,-2,2,1,0,0,0,0,0
power,-3,2,1,0,0,0,0,0
radiant flux,-3,2,1,0,0,0,0,0
electric charge,1,0,0,1,0,0,0,0
electric potential difference,-3,2,1,-1,0,0,0,0
capacitance,4,-2,-1,2,0,0,0,0
electric resistance,-3,2,1,-2,0,0,0,0
electric conductance,3,-2,-1,2,0,0,0,0
magnetic flux,-2,2,1,-1,0,0,0,0
magnetic flux density,-2,0,1,-1,0,0,0,0
inductance,-2,2,1,-2,0,0,0,0
luminous flux,0,0,0,0,0,0,1,0
illuminance,0,-2,0,0,0,0,1,0
activity (of a radionuclide),-1,0,0,0,0,0,0,0
absorbed dose,-2,2,0,0,0,0,0,0
specific energy (imparted),-2,2,0,0,0,0,0,0
dose equivalent (d),-2,2,0,0,0,0,0,0
catalytic activity,-1,0,0,0,0,1,0,0
dynamic viscosity,-1,-1,1,0,0,0,0,0
moment of force,-2,2,1,0,0,0,0,0
surface tension,-2,0,1,0,0,0,0,0
angular velocity,-1,0,0,0,0,0,0,1
angular acceleration,-2,0,0,0,0,0,0,1
heat flux density,-3,0,1,0,0,0,0,0
irradiance,-3,0,1,0,0,0,0,0
heat capacity,-2,2,1,0,-1,0,0,0
entropy,-2,2,1,0,-1,0,0,0
specific heat capacity,-2,2,0,0,-1,0,0,0
specific entropy,-2,2,0,0,-1,0,0,0
specific energy,-2,2,0,0,0,0,0,0
thermal conductivity,-3,1,1,0,-1,0,0,0
energy density,-2,-1,1,0,0,0,0,0
electric field strength,-3,1,1,-1,0,0,0,0
electric charge density,1,-3,0,1,0,0,0,0
electric flux density,1,-2,0,1,0,0,0,0
permittivity,4,-3,-1,2,0,0,0,0
permeability,-2,1,1,-2,0,0,0,0
molar energy,-2,2,1,0,0,-1,0,0
molar heat capacity,-2,2,1,0,1,-1,0,0
molar entropy,-2,2,1,0,1,-1,0,0
exposure (x and gamma rays),1,0,-1,1,0,0,0,0
absorbed dose rate,-3,2,0,0,0,0,0,0
radiant intensity,-3,2,1,0,0,0,0,-1
radiance,-3,0,1,0,0,0,0,-1
catalytic (activity) concentration,-1,3,0,0,0,1,0,0
solid angle,0,0,0,0,0,0,0,2
mach number,0,0,0,0,0,0,0,0
reynold's number,0,0,0,0,0,0,0,0
mass fraction composition,0,0,0,0,0,0,0,0
volume fraction composition,0,0,0,0,0,0,0,0
